1    [-220,-56)
2    [-56,111)
3    [111,280)
4    [280,453)
5    [453,628)
6    [628,806)
7    [806,988)
8    [988,1173)
9    [1173,1361)
10   [1361,1553)
11   [1553,1749)
12   [1749,1948)
13   [1948,2152)
14   [2152,2359)
15   [2359,2572)
16   [2572,2789)
17   [2789,3011)
18   [3011,3471)
19   [3471,3954)
20   [3954,4463)
21   [4463,5001)
22   [5001,5572)
23   [5572,6182)
24   [6182,6837)
25   [6837,7544)
26   [7544,8314)
27   [8314,9162)
28   [9162,9621)
29   [9621,10107)
30   [10107,10624)
31   [10624,11180)
32   [11180,11784)
33   [11784,12452)
34   [12452,13199)
35   [13199,14046)
36   [14046,15024)
37   [15024,16180)
38   [16180,16778)
39   [16778,17595)
40   [17595,18442)
41   [18442,19419)
42   [19419,20058)
43   [20058,20200)
44   [20200,20385)
45   [20385,20430)
46   [20430,20478)
47   [20478,20530)
48   [20530,20587)
49   [20587,20649)
50   [20649,20718)
51   [20718,20795)
52   [20795,20833)
53   [20833,20985)
54   [20985,21107)
55   [21107,21177)
56   [21177,21256)
57   [21256,21346)
58   [21346,21450)
59   [21450,21574)
60   [21574,21726)
61   [21726,21924)
62   [21924,22206)
63   [22206,22696)
64   [22696,∞)
